player,span,matches,innings,notOuts,runs,highScore,average,balls,strikeRate,hundreds,fifties,ducks,fours,sixes,foreign,role
Virat Kohli,2008-2026,292,283,45,9464,113*,39.76,7032,134.58,8,68,12,858,320,false,
AB de Villiers,2011-2021,157,145,35,4522,133*,41.1,2856,158.33,2,37,8,363,240,false,
Chris Gayle,2011-2017,91,90,11,3420,175*,43.29,2215,154.4,5,21,5,263,263,false,
Faf du Plessis,2022-2024,45,45,2,1636,96,38.04,1113,146.99,0,15,2,156,70,false,
Devdutt Padikkal,2020-2026,49,48,3,1447,101*,32.15,1046,138.33,1,11,3,146,55,false,
Rajat Patidar,2021-2026,52,47,3,1429,112*,32.47,879,162.57,1,12,1,93,98,false,
Jacques Kallis,2008-2010,46,46,8,1271,89*,33.44,1123,113.17,0,11,4,139,24,false,
Glenn Maxwell,2021-2024,52,50,6,1266,78,28.77,795,159.24,0,12,8,114,69,false,
Rahul Dravid,2008-2010,52,45,5,1132,75*,28.3,946,119.66,0,5,4,121,20,false,
Dinesh Karthik,2015-2024,60,53,15,937,83,24.65,575,162.95,0,3,6,82,53,false,
LRPL Taylor,2008-2010,31,30,7,733,81*,31.86,493,148.68,0,4,1,57,43,false,
TM Dilshan,2011-2013,30,29,3,733,76*,28.19,647,113.29,0,6,3,99,11,false,
Parthiv Patel,2014-2019,32,32,3,731,67,25.2,562,130.07,0,4,1,98,15,false,
Robin Uthappa,2009-2010,40,36,5,706,68*,22.77,506,139.52,0,5,2,59,36,false,
Phil Salt,2025-2026,19,19,1,605,78,33.61,349,173.35,0,6,1,64,33,false,
Mandeep Singh,2015-2018,40,32,5,597,54*,22.11,463,128.94,0,2,4,54,21,false,
Mayank Agarwal,2011-2025,39,34,2,587,64*,18.34,446,131.61,0,1,2,53,30,false,
SS Tiwary,2011-2013,46,36,10,578,52,22.23,542,106.64,0,1,1,30,23,false,
MK Pandey,2009-2010,24,23,5,569,114*,31.61,475,119.78,1,1,2,62,14,false,
Tim David,2021-2026,23,19,11,420,70*,52.5,221,190.04,0,2,0,32,33,false,
KL Rahul,2013-2016,19,14,3,417,68*,37.9,287,145.29,0,4,1,41,16,false,
MV Boucher,2008-2010,31,22,8,393,50*,28.07,315,124.76,0,1,0,32,13,false,
Yuvraj Singh,2014-2014,14,14,3,376,83,34.18,278,135.25,0,3,1,22,28,false,
MK Lomror,2022-2024,29,25,4,346,54*,16.47,222,155.85,0,1,3,25,21,false,
Kevin Pietersen,2009-2010,13,13,3,329,66*,32.9,242,135.95,0,2,2,31,10,false,
Jitesh Sharma,2025-2026,25,19,4,325,85*,21.66,207,157,0,1,1,29,20,false,
KM Jadhav,2016-2023,19,17,5,321,69,26.75,228,140.78,0,1,0,28,12,false,
Shahbaz Ahmed,2020-2023,39,25,6,321,45,16.89,274,117.15,0,0,0,21,12,false,
Anuj Rawat,2022-2024,22,20,5,318,66,21.2,266,119.54,0,1,3,26,14,false,
MM Ali,2018-2020,19,17,2,309,66,20.6,195,158.46,0,3,1,21,23,false,
AJ Finch,2020-2020,12,12,0,268,52,22.33,241,111.2,0,1,0,28,8,false,
C Green,2024-2024,13,12,4,255,46,31.87,178,143.25,0,0,0,22,10,false,
Vinay Kumar,2008-2013,70,31,11,252,26*,12.6,218,115.59,0,0,2,16,8,false,
Shane Watson,2016-2017,24,22,3,250,36,13.15,212,117.92,0,0,1,20,13,false,
WG Jacks,2024-2024,8,8,1,230,100*,32.85,131,175.57,1,1,0,16,18,false,
SN Khan,2015-2018,25,18,7,228,45*,20.72,143,159.44,0,0,1,26,7,false,
CL White,2008-2010,20,17,5,226,31*,18.83,194,116.49,0,0,1,13,9,false,
MP Stoinis,2019-2019,10,10,6,211,46*,52.75,156,135.25,0,0,2,14,10,false,
Washington Sundar,2018-2021,31,21,6,208,35,13.86,183,113.66,0,0,1,17,6,false,
TM Head,2016-2017,10,10,3,205,75*,29.28,148,138.51,0,1,1,12,8,false,
P Kumar,2008-2010,47,26,7,202,34,10.63,166,121.68,0,0,4,12,14,false,
Q de Kock,2018-2018,8,8,0,201,53,25.12,162,124.07,0,1,0,20,8,false,
KS Bharat,2021-2021,8,7,2,191,78*,38.2,156,122.43,0,1,0,10,8,false,
C de Grandhomme,2018-2019,13,12,4,177,40,22.12,133,133.08,0,0,0,8,12,false,
Krunal Pandya,2025-2026,25,12,3,177,73*,19.66,134,132.08,0,1,1,15,8,false,
S Dube,2019-2020,15,13,3,169,27*,16.9,138,122.46,0,0,0,6,12,false,
Gurkeerat Singh,2019-2020,11,8,5,169,65,56.33,150,112.66,0,1,0,19,2,false,
MC Henriques,2013-2013,10,9,5,165,44,41.25,125,132,0,0,0,20,3,false,
P Negi,2017-2019,21,16,2,156,35,11.14,128,121.87,0,0,3,11,7,false,
Harshal Patel,2012-2023,80,32,12,155,31,7.75,125,124,0,0,6,12,8,false,
Romario Shepherd,2025-2026,18,9,4,149,53*,29.8,79,188.6,0,1,1,11,12,false,
CA Pujara,2011-2013,14,10,0,143,51,14.3,152,94.07,0,1,1,19,1,false,
SP Goswami,2008-2010,7,6,0,143,52,23.83,155,92.25,0,1,0,17,1,false,
Sachin Baby,2016-2021,15,10,2,141,33,17.62,111,127.02,0,0,1,11,5,false,
STR Binny,2016-2017,22,13,4,141,21,15.66,115,122.6,0,0,0,11,7,false,
W Jaffer,2008-2009,8,8,0,130,50,16.25,121,107.43,0,1,1,14,3,false,
BB McCullum,2018-2018,6,6,0,127,43,21.16,88,144.31,0,0,1,16,6,false,
D Wiese,2015-2016,15,8,4,127,47*,31.75,90,141.11,0,0,0,12,4,false,
RE van der Merwe,2009-2010,15,10,1,126,35,14,106,118.86,0,0,0,8,8,false,
SS Prabhudessai,2022-2024,11,10,0,126,34,12.6,106,118.86,0,0,1,11,4,false,
Misbah-ul-Haq,2008-2008,8,8,1,117,47*,16.71,81,144.44,0,0,2,10,6,false,
Daniel Vettori,2011-2012,28,15,5,116,44,11.6,92,126.08,0,0,1,10,5,false,
LS Livingstone,2025-2025,10,8,1,112,54,16,84,133.33,0,1,2,4,9,false,
JG Bethell,2025-2026,6,6,0,110,55,18.33,70,157.14,0,1,0,15,5,false,
Mohammed Siraj,2018-2024,87,25,15,109,14*,10.9,119,91.59,0,0,2,10,4,false,
YV Takawale,2014-2014,5,5,0,104,45,20.8,91,114.28,0,0,2,17,1,false,
M Kaif,2011-2012,13,9,2,102,26,14.57,93,109.67,0,0,0,9,2,false,
Mitchell Starc,2014-2015,27,12,5,96,29,13.71,98,97.95,0,0,0,10,0,false,
SO Hetmyer,2019-2019,5,5,0,90,75,18,73,123.28,0,1,1,4,7,false,
B Akhil,2008-2010,18,11,6,81,27*,16.2,59,137.28,0,0,2,7,4,false,
JR Philippe,2020-2020,5,5,1,78,33,19.5,77,101.29,0,0,1,9,1,false,
S Rana,2014-2014,9,7,4,73,19*,24.33,65,112.3,0,0,0,7,1,false,
Wanindu Hasaranga,2021-2023,26,14,4,72,18,7.2,73,98.63,0,0,3,7,1,false,
Sreenath Aravind,2011-2017,44,16,11,70,14*,14,66,106.06,0,0,2,8,0,false,
KB Arun Karthik,2011-2013,20,10,4,67,19*,11.16,58,115.51,0,0,2,4,3,false,
Zaheer Khan,2008-2013,44,15,7,67,21,8.37,84,79.76,0,0,4,7,0,false,
KA Jamieson,2021-2021,9,7,3,65,16*,16.25,55,118.18,0,0,0,5,3,false,
Iqbal Abdulla,2015-2017,15,5,3,62,33*,31,52,119.23,0,0,1,8,1,false,
TG Southee,2018-2019,11,5,3,61,36*,30.5,55,110.9,0,0,0,5,1,false,
AD Nath,2019-2019,8,5,0,61,24,12.2,57,107.01,0,0,0,5,2,false,
MG Bracewell,2023-2023,5,4,2,58,26,29,47,123.4,0,0,0,6,1,false,
D du Preez,2009-2010,5,3,0,57,46,19,39,146.15,0,0,0,1,4,false,
JD Ryder,2009-2009,5,5,0,56,32,11.2,49,114.28,0,0,2,9,0,false,
M Vohra,2018-2018,4,4,0,55,45,13.75,47,117.02,0,0,1,2,4,false,
RR Rossouw,2014-2015,5,5,0,53,24,10.6,51,103.92,0,0,1,3,3,false,
DJ Willey,2022-2023,8,5,3,53,20*,26.5,62,85.48,0,0,1,7,0,false,
LA Pomersbach,2011-2011,5,4,0,51,29,12.75,39,130.76,0,0,0,4,2,false,
R Rampaul,2013-2014,12,7,2,51,23*,10.2,50,102,0,0,3,3,2,false,
AB McDonald,2012-2013,5,4,1,47,30,15.66,37,127.02,0,0,1,6,2,false,
J Syed Mohammad,2011-2013,15,8,4,45,13*,11.25,36,125,0,0,0,6,0,false,
JA Morkel,2014-2014,7,5,2,45,16,15,41,109.75,0,0,0,1,3,false,
VR Iyer,2026-2026,2,2,1,41,29*,41,30,136.66,0,0,0,2,2,false,
VR Aaron,2014-2016,24,5,4,41,17*,41,37,110.81,0,0,0,2,2,false,
Bhuvneshwar Kumar,2009-2026,25,9,6,41,15*,13.66,49,83.67,0,0,0,4,0,false,
AUK Pathan,2011-2012,8,7,2,39,14,7.8,23,169.56,0,0,2,5,2,false,
A Mithun,2009-2013,17,9,3,38,11,6.33,29,131.03,0,0,1,5,1,false,
Swapnil Singh,2024-2024,7,5,3,37,15*,18.5,21,176.19,0,0,1,3,3,false,
MS Bisla,2015-2015,2,2,0,37,20,18.5,30,123.33,0,0,0,6,1,false,
Anil Kumble,2008-2010,51,19,16,37,8,12.33,50,74,0,0,0,3,0,false,
RR Bhatkal,2011-2012,6,5,1,36,25,9,34,105.88,0,0,1,2,1,false,
KV Sharma,2009-2024,17,6,0,35,20,5.83,23,152.17,0,0,0,2,3,false,
EJG Morgan,2010-2010,6,4,1,35,17,11.66,30,116.66,0,0,0,2,1,false,
CH Morris,2020-2020,9,5,1,34,25*,8.5,21,161.9,0,0,1,2,3,false,
SE Rutherford,2022-2022,3,2,0,33,28,16.5,50,66,0,0,0,1,1,false,
Yuzvendra Chahal,2014-2021,113,18,12,32,8*,5.33,78,41.02,0,0,1,0,0,false,
NA Saini,2019-2021,28,6,3,31,12*,10.33,35,88.57,0,0,0,3,0,false,
VH Zol,2014-2014,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1,false,
UT Yadav,2018-2020,27,13,6,28,14,4,38,73.68,0,0,3,3,1,false,
S Sriram,2010-2010,1,1,0,27,27,27,29,93.1,0,0,0,3,0,false,
A Choudhary,2017-2017,5,3,2,25,15*,25,20,125,0,0,0,1,1,false,
S Chanderpaul,2008-2008,3,3,0,25,16,8.33,31,80.64,0,0,0,4,0,false,
J Arunkumar,2008-2008,3,3,0,23,22,7.66,23,100,0,0,1,5,0,false,
NJ Maddinson,2014-2015,3,3,0,20,12,6.66,21,95.23,0,0,0,4,0,false,
B Chipli,2008-2008,3,3,0,20,10,6.66,28,71.42,0,0,0,3,0,false,
DT Christian,2013-2021,11,9,1,20,9,2.5,39,51.28,0,0,1,1,0,false,
Akash Deep,2022-2024,8,3,1,19,17,9.5,12,158.33,0,0,1,2,1,false,
R Bishnoi,2009-2009,3,3,0,19,18,6.33,17,111.76,0,0,1,1,2,false,
A Mukund,2013-2013,1,1,0,19,19,19,21,90.47,0,0,0,1,0,false,
P Ray Barman,2019-2019,1,1,0,19,19,19,24,79.16,0,0,0,2,0,false,
Vishnu Vinod,2017-2017,3,3,0,19,9,6.33,26,73.07,0,0,0,1,1,false,
Josh Hazlewood,2022-2026,34,8,7,19,7*,19,30,63.33,0,0,1,1,0,false,
SD Chauhan,2024-2024,3,3,0,18,9,6,15,120,0,0,1,1,1,false,
JJ van der Wath,2011-2011,3,3,1,18,14*,9,16,112.5,0,0,1,1,1,false,
CR Woakes,2018-2018,5,4,2,17,11,8.5,19,89.47,0,0,0,1,1,false,
CJ Anderson,2018-2018,3,3,0,17,15,5.66,22,77.27,0,0,1,0,1,false,
Dale Steyn,2008-2020,40,11,4,16,8,2.28,28,57.14,0,0,4,2,0,false,
I Udana,2020-2020,10,4,1,15,10*,5,11,136.36,0,0,1,1,1,false,
SA Abbott,2015-2015,2,2,0,15,14,7.5,13,115.38,0,0,0,1,1,false,
AN Ahmed,2014-2015,7,4,3,14,5*,14,6,233.33,0,0,0,3,0,false,
V Vyshak,2023-2024,11,4,2,14,13*,7,12,116.66,0,0,2,0,1,false,
DT Patil,2008-2008,2,2,0,13,9,6.5,13,100,0,0,0,1,0,false,
DJG Sammy,2015-2015,2,2,0,13,7,6.5,18,72.22,0,0,0,0,0,false,
S Badree,2017-2017,7,5,0,13,8,2.6,23,56.52,0,0,2,0,0,false,
Parvez Rasool,2016-2016,4,1,0,10,10,10,9,111.11,0,0,0,1,0,false,
