player,overs,maidens,figures,wickets,runs,economy,opposition,venue,year,foreign
Anil Kumble,3.1,1,5/5,5,5,1.57,v RR,Cape Town,2009,false
Wanindu Hasaranga,4,1,5/18,5,18,4.5,v SRH,Wankhede,2022,false
JD Unadkat,4,0,5/25,5,25,6.25,v Daredevils,Delhi,2013,false
Harshal Patel,4,0,5/27,5,27,6.75,v MI,Chennai,2021,false
S Badree,4,1,4/9,4,9,2.25,v MI,Bengaluru,2017,false
CJ Jordan,3,0,4/11,4,11,3.66,v Guj Lions,Bengaluru,2016,false
Josh Hazlewood,3.3,0,4/12,4,12,3.42,v DC,Delhi,2026,false
Sreenath Aravind,4,0,4/14,4,14,3.5,v Kings XI,Bengaluru,2011,false
Mitchell Starc,4,0,4/15,4,15,3.75,v Kings XI,Bengaluru,2015,false
Anil Kumble,4,0,4/16,4,16,4,v Chargers,Johannesburg,2009,false
Anil Kumble,3.3,0,4/16,4,16,4.57,v Chargers,DY Patil,2010,false
Zaheer Khan,2,0,4/17,4,17,8.5,v CSK,Bengaluru,2013,false
Harshal Patel,3.1,0,4/17,4,17,5.36,v MI,Dubai (DICS),2021,false
KP Appanna,4,0,4/19,4,19,4.75,v RR,Jaipur,2012,false
Wanindu Hasaranga,4,0,4/20,4,20,5,v KKR,DY Patil,2022,false
Mohammed Siraj,4,0,4/21,4,21,5.25,v Punjab Kings,Mohali,2023,false
Rasikh Salam,4,0,4/24,4,24,6,v LSG,Bengaluru,2026,false
Yuzvendra Chahal,3,0,4/25,4,25,8.33,v Kings XI,Bengaluru,2016,false
Josh Hazlewood,4,0,4/25,4,25,6.25,v LSG,DY Patil,2022,false
CH Morris,4,0,4/26,4,26,6.5,v RR,Dubai (DICS),2020,false
Sreenath Aravind,4,0,4/27,4,27,6.75,v Kings XI,Bengaluru,2015,false
Shane Watson,4,0,4/29,4,29,7.25,v Guj Lions,Bengaluru,2016,false
D Wiese,4,0,4/33,4,33,8.25,v MI,Bengaluru,2015,false
Josh Hazlewood,4,0,4/33,4,33,8.25,v RR,Bengaluru,2025,false
Harshal Patel,4,0,4/34,4,34,8.5,v Punjab Kings,Brabourne,2022,false
Yuvraj Singh,4,0,4/35,4,35,8.75,v RR,Bengaluru,2014,false
Yuzvendra Chahal,4,0,4/38,4,38,9.5,v MI,Bengaluru,2019,false
Vinay Kumar,4,0,4/40,4,40,10,v CSK,Bengaluru,2010,false
Krunal Pandya,4,0,4/45,4,45,11.25,v MI,Wankhede,2025,false
Bhuvneshwar Kumar,3,0,3/5,3,5,1.66,v DC,Delhi,2026,false
Shahbaz Ahmed,2,0,3/7,3,7,3.5,v SRH,Chennai,2021,false
Mohammed Siraj,4,2,3/8,3,8,2,v KKR,Abu Dhabi,2020,false
Anil Kumble,3.5,0,3/9,3,9,2.34,v RR,Bengaluru,2010,false
P Negi,2,0,3/10,3,10,5,v Daredevils,Delhi,2017,false
WD Parnell,3,0,3/10,3,10,3.33,v RR,Jaipur,2023,false
Yuzvendra Chahal,4,1,3/11,3,11,2.75,v MI,Dubai (DICS),2021,false
RP Singh,4,0,3/13,3,13,3.25,v RR,Bengaluru,2013,false
KW Richardson,3,0,3/13,3,13,4.33,v Supergiants,Pune,2016,false
Anil Kumble,4,0,3/14,3,14,3.5,v CSK,Chennai,2008,false
Josh Hazlewood,3,0,3/14,3,14,4.66,v Punjab Kings,Bengaluru,2025,false
Jacques Kallis,4,1,3/16,3,16,4,v Guyana,Centurion,2010,false
VR Aaron,4,0,3/16,3,16,4,v KKR,Sharjah,2014,false
Yuzvendra Chahal,4,0,3/16,3,16,4,v KKR,Eden Gardens,2017,false
Suyash Sharma,3,0,3/17,3,17,5.66,v Punjab Kings,New Chandigarh,2025,false
Jacques Kallis,4,1,3/18,3,18,4.5,v Otago,Bengaluru,2009,false
P Kumar,4,0,3/18,3,18,4.5,v RR,Bengaluru,2010,false
Dale Steyn,4,0,3/18,3,18,4.5,v Chargers,Nagpur,2010,false
Vinay Kumar,4,0,3/18,3,18,4.5,v RR,Bengaluru,2013,false
Yuzvendra Chahal,4,0,3/18,3,18,4.5,v SRH,Dubai (DICS),2020,false
Daniel Vettori,4,0,3/19,3,19,4.75,v MI,Chennai,2011,false
Yuzvendra Chahal,4,0,3/19,3,19,4.75,v Guj Lions,Bengaluru,2016,false
CH Morris,4,0,3/19,3,19,4.75,v CSK,Dubai (DICS),2020,false
Anil Kumble,4,0,3/20,3,20,5,v Daredevils,Bengaluru,2009,false
Mitchell Starc,4,0,3/20,3,20,5,v Daredevils,Delhi,2015,false
V Vyshak,4,0,3/20,3,20,5,v DC,Bengaluru,2023,false
Yash Dayal,3.1,0,3/20,3,20,6.31,v DC,Bengaluru,2024,false
Chris Gayle,4,0,3/21,3,21,5.25,v Kings XI,Bengaluru,2011,false
RR Bhatkal,3,0,3/21,3,21,7,v MI,Chennai,2011,false
M Muralidaran,4,0,3/21,3,21,5.25,v CSK,Chennai,2012,false
Josh Hazlewood,4,0,3/21,3,21,5.25,v CSK,Chennai,2025,false
Josh Hazlewood,3.1,0,3/21,3,21,6.63,v Punjab Kings,New Chandigarh,2025,false
Vinay Kumar,4,0,3/22,3,22,5.5,v Chargers,Hyderabad,2012,false
Mitchell Starc,4,0,3/22,3,22,5.5,v RR,Ahmedabad,2015,false
Mohammed Siraj,4,0,3/22,3,22,5.5,v LSG,Bengaluru,2023,false
JA Duffy,4,0,3/22,3,22,5.5,v SRH,Bengaluru,2026,false
P Kumar,4,0,3/23,3,23,5.75,v Chargers,Bengaluru,2008,false
Vinay Kumar,3,0,3/23,3,23,7.66,v KKR,Bengaluru,2010,false
UT Yadav,4,0,3/23,3,23,5.75,v Kings XI,Bengaluru,2018,false
UT Yadav,4,0,3/23,3,23,5.75,v Kings XI,Indore,2018,false
Mitchell Starc,4,1,3/24,3,24,6,v CSK,Chennai,2015,false
Shane Watson,4,0,3/24,3,24,6,v Supergiants,Bengaluru,2016,false
Washington Sundar,3,0,3/24,3,24,8,v SRH,Bengaluru,2019,false
Yuzvendra Chahal,4,0,3/24,3,24,6,v RR,Abu Dhabi,2020,false
Vinay Kumar,4,0,3/25,3,25,6.25,v MI,Brabourne,2010,false
M Muralidaran,4,0,3/25,3,25,6.25,v Daredevils,Bengaluru,2012,false
Mohammed Siraj,4,0,3/25,3,25,6.25,v SRH,Hyderabad,2018,false
UT Yadav,4,1,3/25,3,25,6.25,v RR,Jaipur,2018,false
Dale Steyn,4,0,3/26,3,26,6.5,v MI,Brabourne,2010,false
Dale Steyn,4,0,3/26,3,26,6.5,v MI,Durban,2010,false
Bhuvneshwar Kumar,4,0,3/26,3,26,6.5,v DC,Bengaluru,2026,false
Dale Steyn,4,0,3/27,3,27,6.75,v KKR,Eden Gardens,2008,false
Vinay Kumar,4,0,3/27,3,27,6.75,v Chargers,Hyderabad,2008,false
Vinay Kumar,4,0,3/27,3,27,6.75,v MI,Bengaluru,2013,false
RP Singh,4,0,3/27,3,27,6.75,v SRH,Bengaluru,2013,false
RP Singh,4,0,3/27,3,27,6.75,v KKR,Bengaluru,2013,false
Mohammed Siraj,4,0,3/27,3,27,6.75,v RR,Wankhede,2021,false
Bhuvneshwar Kumar,4,0,3/27,3,27,6.75,v LSG,Bengaluru,2026,false
Josh Hazlewood,4,0,3/28,3,28,7,v DC,Wankhede,2022,false
Bhuvneshwar Kumar,4,0,3/28,3,28,7,v GT,Ahmedabad,2026,false
Yuzvendra Chahal,4,0,3/29,3,29,7.25,v Punjab Kings,Sharjah,2021,false
Krunal Pandya,4,0,3/29,3,29,7.25,v KKR,Eden Gardens,2025,false
P Kumar,4,0,3/30,3,30,7.5,v Daredevils,Johannesburg,2009,false
P Parameswaran,3,0,3/30,3,30,10,v Daredevils,Delhi,2012,false
TG Southee,4,0,3/30,3,30,7.5,v SRH,Hyderabad,2018,false
L Ngidi,4,0,3/30,3,30,7.5,v CSK,Bengaluru,2025,false
R Rampaul,4,0,3/31,3,31,7.75,v CSK,Chennai,2013,false
Vinay Kumar,4,0,3/31,3,31,7.75,v Warriors,Pune,2013,false
Yuzvendra Chahal,4,0,3/31,3,31,7.75,v Guj Lions,Rajkot,2017,false
D du Preez,4,1,3/32,3,32,8,v MI,Johannesburg,2009,false
P Kumar,4,0,3/32,3,32,8,v Cape Cobras,Bengaluru,2009,false
