player,span,matches,innings,catches,maxCatchesInnings,foreign
Virat Kohli,2008-2026,292,290,132,3,false
AB de Villiers,2011-2021,157,104,70,3,false
Mohammed Siraj,2018-2024,87,87,28,2,false
Devdutt Padikkal,2020-2026,49,49,26,3,false
Yuzvendra Chahal,2014-2021,113,112,24,2,false
Vinay Kumar,2008-2013,70,69,22,2,false
Harshal Patel,2012-2023,80,78,19,2,false
Mandeep Singh,2015-2018,40,39,18,2,false
Shahbaz Ahmed,2020-2023,39,39,18,2,false
Chris Gayle,2011-2017,91,89,18,2,false
Glenn Maxwell,2021-2024,52,52,17,2,false
Mitchell Starc,2014-2015,27,26,16,2,false
Mayank Agarwal,2011-2025,39,38,16,2,false
Jacques Kallis,2008-2010,46,46,16,2,false
Phil Salt,2025-2026,19,19,15,3,false
Faf du Plessis,2022-2024,45,45,15,2,false
Anil Kumble,2008-2010,51,51,15,2,false
Rajat Patidar,2021-2026,52,52,15,2,false
MK Pandey,2009-2010,24,24,12,2,false
Dale Steyn,2008-2020,40,40,11,2,false
Zaheer Khan,2008-2013,44,43,11,1,false
SS Tiwary,2011-2013,46,45,11,2,false
Rahul Dravid,2008-2010,52,52,11,2,false
Sreenath Aravind,2011-2017,44,44,10,2,false
DT Christian,2013-2021,11,11,9,2,false
Robin Uthappa,2009-2010,40,21,9,2,false
MK Lomror,2022-2024,29,29,9,1,false
LRPL Taylor,2008-2010,31,31,9,2,false
A Mithun,2009-2013,17,17,8,2,false
Tim David,2021-2026,23,23,8,2,false
Shane Watson,2016-2017,24,24,8,1,false
Krunal Pandya,2025-2026,25,25,8,1,false
Daniel Vettori,2011-2012,28,28,8,1,false
CH Morris,2020-2020,9,9,7,2,false
Anuj Rawat,2022-2024,22,16,7,2,false
CL White,2008-2010,20,20,7,1,false
Bhuvneshwar Kumar,2009-2026,25,25,7,1,false
TM Dilshan,2011-2013,30,28,7,1,false
Gurkeerat Singh,2019-2020,11,11,6,2,false
SS Prabhudessai,2022-2024,11,11,6,1,false
TG Southee,2018-2019,11,11,6,1,false
M Kaif,2011-2012,13,13,6,2,false
Kevin Pietersen,2009-2010,13,13,6,1,false
D Wiese,2015-2016,15,14,6,1,false
KV Sharma,2009-2024,17,17,6,2,false
P Negi,2017-2019,21,21,6,1,false
UT Yadav,2018-2020,27,27,6,2,false
NA Saini,2019-2021,28,28,6,1,false
Yash Dayal,2024-2025,29,29,6,1,false
Josh Hazlewood,2022-2026,34,34,6,2,false
P Kumar,2008-2010,47,47,6,1,false
AF Milne,2016-2017,5,5,5,2,false
LA Pomersbach,2011-2011,5,5,5,3,false
MC Henriques,2013-2013,10,10,5,2,false
C Green,2024-2024,13,13,5,1,false
Iqbal Abdulla,2015-2017,15,15,5,2,false
RE van der Merwe,2009-2010,15,15,5,2,false
Romario Shepherd,2025-2026,18,18,5,2,false
EJG Morgan,2010-2010,6,6,4,2,false
LH Ferguson,2024-2024,7,7,4,1,false
WD Parnell,2023-2023,7,7,4,1,false
W Jaffer,2008-2009,8,8,4,2,false
CJ Jordan,2016-2016,9,9,4,1,false
LS Livingstone,2025-2025,10,10,4,2,false
M Kartik,2013-2013,11,11,4,1,false
RP Singh,2013-2013,11,11,4,1,false
V Vyshak,2023-2024,11,11,4,2,false
R Rampaul,2013-2014,12,12,4,3,false
C de Grandhomme,2018-2019,13,13,4,1,false
CA Pujara,2011-2013,14,14,4,1,false
Yuvraj Singh,2014-2014,14,14,4,2,false
MM Ali,2018-2020,19,19,4,2,false
STR Binny,2016-2017,22,22,4,1,false
Washington Sundar,2018-2021,31,31,4,2,false
MJ Dagar,2024-2024,5,5,3,3,false
SO Hetmyer,2019-2019,5,5,3,2,false
KW Richardson,2016-2021,5,5,3,1,false
KM Jadhav,2016-2023,19,7,3,2,false
Akash Deep,2022-2024,8,8,3,2,false
WG Jacks,2024-2024,8,8,3,2,false
S Rana,2014-2014,9,9,3,2,false
TM Head,2016-2017,10,10,3,3,false
I Udana,2020-2020,10,10,3,1,false
AJ Finch,2020-2020,12,12,3,1,false
S Dube,2019-2020,15,15,3,2,false
Sachin Baby,2016-2021,15,15,3,2,false
B Akhil,2008-2010,18,18,3,1,false
M Muralidaran,2012-2014,21,21,3,1,false
Wanindu Hasaranga,2021-2023,26,26,3,1,false
Abhinandan Singh,2026-2026,3,3,2,1,false
Parvez Rasool,2016-2016,4,4,2,1,false
RR Rossouw,2014-2015,5,5,2,2,false
JD Ryder,2009-2009,5,5,2,1,false
JG Bethell,2025-2026,6,6,2,1,false
S Badree,2017-2017,7,7,2,1,false
JA Morkel,2014-2014,7,7,2,1,false
Swapnil Singh,2024-2024,7,7,2,1,false
DP Nannes,2011-2011,8,8,2,1,false
AUK Pathan,2011-2012,8,8,2,2,false
Rasikh Salam,2025-2026,8,8,2,1,false
