player,runs,notOut,minutes,balls,fours,sixes,strikeRate,opposition,venue,innings,year,foreign
Chris Gayle,175,true,102,66,13,17,265.15,v Warriors,Bengaluru,1,2013,false
AB de Villiers,133,true,82,59,19,4,225.42,v MI,Wankhede,1,2015,false
AB de Villiers,129,true,78,52,10,12,248.07,v Guj Lions,Bengaluru,1,2016,false
Chris Gayle,128,true,95,62,7,13,206.45,v Daredevils,Delhi,1,2012,false
Chris Gayle,117,false,84,57,7,12,205.26,v Kings XI,Bengaluru,1,2015,false
MK Pandey,114,true,,73,10,4,156.16,v Chargers,Centurion,1,2009,false
Virat Kohli,113,true,94,72,12,4,156.94,v RR,Jaipur,1,2024,false
Virat Kohli,113,false,,50,12,8,226,v Kings XI,Bengaluru,1,2016,false
Rajat Patidar,112,true,100,54,12,7,207.4,v LSG,Eden Gardens,1,2022,false
Virat Kohli,109,false,94,55,5,8,198.18,v Guj Lions,Bengaluru,1,2016,false
Virat Kohli,108,true,98,58,8,7,186.2,v Supergiants,Bengaluru,2,2016,false
Chris Gayle,107,false,68,49,10,9,218.36,v Kings XI,Bengaluru,1,2011,false
Chris Gayle,102,true,,55,10,7,185.45,v KKR,Eden Gardens,2,2011,false
Devdutt Padikkal,101,true,74,52,11,6,194.23,v RR,Wankhede,2,2021,false
Virat Kohli,101,true,102,61,13,1,165.57,v GT,Bengaluru,1,2023,false
Virat Kohli,100,true,88,63,11,1,158.73,v Guj Lions,Rajkot,1,2016,false
WG Jacks,100,true,50,41,5,10,243.9,v GT,Ahmedabad,2,2024,false
Virat Kohli,100,false,98,58,9,4,172.41,v KKR,Eden Gardens,1,2019,false
Virat Kohli,100,false,82,63,12,4,158.73,v SRH,Hyderabad,2,2023,false
Virat Kohli,99,false,80,58,10,4,170.68,v Daredevils,Delhi,1,2013,false
Chris Gayle,96,false,83,56,7,7,171.42,v KKR,Eden Gardens,2,2015,false
Faf du Plessis,96,false,106,64,11,2,150,v LSG,DY Patil,1,2022,false
Virat Kohli,93,true,60,47,11,4,197.87,v SRH,Bengaluru,2,2013,false
