player,runs,balls,fours,sixes,strikeRate,opposition,venue,year,foreign
AB de Villiers,31,8,3,3,387.5,v Warriors,Bengaluru,2013,false
B Akhil,27,7,2,3,385.71,v Chargers,Hyderabad,2008,false
Romario Shepherd,53,14,4,6,378.57,v CSK,Bengaluru,2025,false
Dinesh Karthik,30,8,1,4,375,v SRH,Wankhede,2022,false
AB de Villiers,41,11,5,3,372.72,v MI,Bengaluru,2015,false
Virat Kohli,25,7,1,3,357.14,v RR,Bengaluru,2019,false
Chris Gayle,35,10,4,3,350,v SRH,Hyderabad,2015,false
SN Khan,35,10,5,2,350,v SRH,Bengaluru,2016,false
Chris Gayle,38,12,6,2,316.66,v KKR,Bengaluru,2011,false
Robin Uthappa,25,8,2,2,312.5,v Guyana,Centurion,2010,false
CH Morris,25,8,1,3,312.5,v Kings XI,Sharjah,2020,false
LRPL Taylor,32,11,2,3,290.9,v Otago,Bengaluru,2009,false
Tim David,70,25,3,8,280,v CSK,Bengaluru,2026,false
Dinesh Karthik,28,10,3,2,280,v Punjab Kings,Bengaluru,2024,false
Faf du Plessis,64,23,10,3,278.26,v GT,Bengaluru,2024,false
Shane Watson,36,13,5,2,276.92,v Supergiants,Bengaluru,2016,false
AB de Villiers,47,17,5,3,276.47,v Chargers,Bengaluru,2012,false
Chris Gayle,44,16,3,5,275,v Kochi,Bengaluru,2011,false
Chris Gayle,27,10,3,2,270,v Chargers,Hyderabad,2012,false
S Dube,27,10,1,3,270,v MI,Dubai (DICS),2020,false
Chris Gayle,175,66,13,17,265.15,v Warriors,Bengaluru,2013,false
Rajat Patidar,53,20,4,5,265,v MI,Wankhede,2026,false
Anuj Rawat,29,11,3,2,263.63,v RR,Jaipur,2023,false
Devdutt Padikkal,34,13,3,3,261.53,v DC,Delhi,2026,false
Rajat Patidar,31,12,2,3,258.33,v SRH,Bengaluru,2026,false
Jitesh Sharma,85,33,8,6,257.57,v LSG,Lucknow,2025,false
AB de Villiers,59,23,3,5,256.52,v RR,Jaipur,2012,false
MK Lomror,33,13,3,3,253.84,v LSG,Bengaluru,2024,false
Rajat Patidar,48,19,1,6,252.63,v CSK,Bengaluru,2026,false
AB de Villiers,55,22,1,6,250,v RR,Dubai (DICS),2020,false
Rajat Patidar,50,20,2,5,250,v SRH,Hyderabad,2024,false
Mandeep Singh,45,18,4,3,250,v KKR,Bengaluru,2015,false
AB de Villiers,129,52,10,12,248.07,v Guj Lions,Bengaluru,2016,false
LRPL Taylor,81,33,7,5,245.45,v KKR,Centurion,2009,false
WG Jacks,100,41,5,10,243.9,v GT,Ahmedabad,2024,false
Robin Uthappa,51,21,4,4,242.85,v Kings XI,Bengaluru,2010,false
Dinesh Karthik,34,14,2,3,242.85,v CSK,DY Patil,2022,false
Rajat Patidar,55,23,3,6,239.13,v Punjab Kings,Dharamsala,2024,false
Harshal Patel,31,13,3,2,238.46,v Punjab Kings,Ahmedabad,2021,false
KM Jadhav,38,16,5,2,237.5,v Guj Lions,Rajkot,2017,false
Dinesh Karthik,83,35,5,7,237.14,v SRH,Bengaluru,2024,false
Glenn Maxwell,26,11,2,2,236.36,v CSK,DY Patil,2022,false
MM Ali,66,28,5,6,235.71,v KKR,Eden Gardens,2019,false
AB de Villiers,33,14,2,3,235.71,v Warriors,Bengaluru,2012,false
C de Grandhomme,40,17,1,4,235.29,v SRH,Bengaluru,2018,false
Tim David,40,17,4,3,235.29,v LSG,Lucknow,2026,false
Devdutt Padikkal,61,26,7,4,234.61,v SRH,Bengaluru,2026,false
Yuvraj Singh,68,29,1,9,234.48,v Daredevils,Bengaluru,2014,false
Virat Kohli,44,19,3,3,231.57,v SRH,Hyderabad,2015,false
AB de Villiers,90,39,10,5,230.76,v Daredevils,Bengaluru,2018,false
Dinesh Karthik,53,23,5,4,230.43,v MI,Wankhede,2024,false
AB de Villiers,55,24,4,4,229.16,v MI,Dubai (DICS),2020,false
Dinesh Karthik,32,14,3,3,228.57,v Punjab Kings,DY Patil,2022,false
Chris Gayle,73,32,4,8,228.12,v Kings XI,Bengaluru,2016,false
Robin Uthappa,50,22,4,4,227.27,v KKR,Bengaluru,2010,false
