players,runs,wicket,opposition,venue,year
1st,181,"D Padikkal, V Kohli",v RR,Wankhede,2021
2nd,229,"V Kohli, AB de Villiers",v Guj Lions,Bengaluru,2016
3rd,127,"GJ Maxwell, F du Plessis",v RR,Bengaluru,2023
4th,144,"SO Hetmyer, Gurkeerat Singh",v SRH,Bengaluru,2019
5th,121,"MP Stoinis, AB de Villiers",v Kings XI,Bengaluru,2019
6th,97,"Shahbaz Ahmed, KD Karthik",v DC,Wankhede,2022
7th,91,"Iqbal Abdulla, AB de Villiers",v Guj Lions,Bengaluru,2016
8th,51,"R Vinay Kumar, R Rampaul",v MI,Wankhede,2013
9th,38,"TG Southee, Mohammed Siraj",v CSK,Pune,2018
10th,32,"JR Hazlewood, TH David",v Punjab Kings,Bengaluru,2025
