player,season,matches,innings,notOuts,runs,highScore,average,balls,strikeRate,hundreds,fifties,ducks,fours,sixes,foreign,series
Virat Kohli,2016,16,16,4,973,113,81.08,640,152.03,4,7,1,83,38,false,"Indian Premier League (in India), 2016"
Virat Kohli,2024,15,15,3,741,113*,61.75,479,154.69,1,5,0,62,38,false,"Indian Premier League (in India), 2024"
Chris Gayle,2012,15,14,2,733,128*,61.08,456,160.74,1,7,0,46,59,false,"Indian Premier League (in India), 2012"
Faf du Plessis,2023,14,14,1,730,84,56.15,475,153.68,0,8,0,60,36,false,"Indian Premier League (in India), 2023"
Chris Gayle,2013,16,16,4,708,175*,59,453,156.29,1,4,0,57,51,false,"Indian Premier League (in India), 2013"
AB de Villiers,2016,16,16,3,687,129*,52.84,407,168.79,1,6,1,57,37,false,"Indian Premier League (in India), 2016"
Virat Kohli,2025,15,15,3,657,73*,54.75,454,144.71,0,8,0,66,19,false,"Indian Premier League (in India), 2025"
Virat Kohli,2023,14,14,2,639,101*,53.25,457,139.82,2,6,1,65,16,false,"Indian Premier League (in India), 2023"
Virat Kohli,2013,16,16,2,634,99,45.28,457,138.73,0,6,0,64,22,false,"Indian Premier League (in India), 2013"
Chris Gayle,2011,12,12,3,608,107,67.55,332,183.13,2,3,2,56,44,false,"Indian Premier League (in India), 2011"
Jacques Kallis,2009,16,16,4,572,89*,47.66,494,115.78,0,6,1,67,9,false,"Indian Premier League (in India), 2009/10"
Virat Kohli,2011,16,16,4,557,71,46.41,460,121.08,0,4,0,55,16,false,"Indian Premier League (in India), 2011"
Virat Kohli,2018,14,14,3,530,92*,48.18,381,139.1,0,4,0,52,18,false,"Indian Premier League (in India), 2018"
Glenn Maxwell,2021,15,14,2,513,78,42.75,356,144.1,0,6,1,48,21,false,"Indian Premier League (in India/United Arab Emirates), 2021"
AB de Villiers,2015,16,14,3,513,133*,46.63,293,175.08,1,2,1,60,22,false,"Pepsi Indian Premier League (in India), 2015"
Virat Kohli,2015,16,16,5,505,82*,45.9,386,130.82,0,3,0,35,23,false,"Pepsi Indian Premier League (in India), 2015"
Chris Gayle,2015,14,14,2,491,117,40.91,333,147.44,1,2,0,39,38,false,"Pepsi Indian Premier League (in India), 2015"
AB de Villiers,2018,12,11,2,480,90*,53.33,275,174.54,0,6,0,39,30,false,"Indian Premier League (in India), 2018"
Devdutt Padikkal,2020,15,15,0,473,74,31.53,379,124.8,0,5,0,51,8,false,"Indian Premier League (in United Arab Emirates), 2020/21"
Faf du Plessis,2022,16,16,1,468,96,31.2,367,127.52,0,3,2,49,13,false,"Indian Premier League (in India), 2022"
Virat Kohli,2020,15,15,4,466,90*,42.36,384,121.35,0,3,0,23,11,false,"Indian Premier League (in United Arab Emirates), 2020/21"
Virat Kohli,2019,14,14,0,464,100,33.14,328,141.46,1,2,0,46,13,false,"Indian Premier League (in India), 2019"
AB de Villiers,2020,15,14,4,454,73*,45.4,286,158.74,0,5,1,33,23,false,"Indian Premier League (in United Arab Emirates), 2020/21"
AB de Villiers,2019,13,13,3,442,82*,44.2,287,154,0,5,0,31,26,false,"Indian Premier League (in India), 2019"
Faf du Plessis,2024,15,15,0,438,64,29.2,271,161.62,0,4,0,47,21,false,"Indian Premier League (in India), 2024"
Devdutt Padikkal,2021,14,14,1,411,101*,31.61,328,125.3,1,1,2,44,14,false,"Indian Premier League (in India/United Arab Emirates), 2021"
Virat Kohli,2021,15,15,1,405,72*,28.92,339,119.46,0,3,0,43,9,false,"Indian Premier League (in India/United Arab Emirates), 2021"
Phil Salt,2025,13,13,1,403,65,33.58,229,175.98,0,4,0,48,22,false,"Indian Premier League (in India), 2025"
Glenn Maxwell,2023,14,14,2,400,77,33.33,218,183.48,0,5,2,29,31,false,"Indian Premier League (in India), 2023"
KL Rahul,2016,14,12,3,397,68*,44.11,271,146.49,0,4,1,37,16,false,"Indian Premier League (in India), 2016"
Rajat Patidar,2024,15,13,0,395,55,30.38,223,177.13,0,5,1,21,33,false,"Indian Premier League (in India), 2024"
AB de Villiers,2014,14,13,2,395,89*,35.9,249,158.63,0,3,1,26,24,false,"Pepsi Indian Premier League (in India/United Arab Emirates), 2014"
Virat Kohli,2026,10,10,2,379,81,47.37,231,164.06,0,3,1,42,15,false,"Indian Premier League (in India), 2026"
Yuvraj Singh,2014,14,14,3,376,83,34.18,278,135.25,0,3,1,22,28,false,"Pepsi Indian Premier League (in India/United Arab Emirates), 2014"
Robin Uthappa,2009,16,14,2,374,68*,31.16,218,171.55,0,3,0,21,27,false,"Indian Premier League (in India), 2009/10"
Parthiv Patel,2019,14,14,0,373,67,26.64,268,139.17,0,2,1,48,10,false,"Indian Premier League (in India), 2019"
Rahul Dravid,2007,14,14,1,371,75*,28.53,298,124.49,0,2,2,35,11,false,"Indian Premier League (in India), 2007/08"
