player,season,matches,balls,overs,maidens,innings,runs,wickets,best,average,economy,strikeRate,foreign,series
Harshal Patel,2021,15,338,56.2,0,15,459,32,5/27,14.34,8.14,10.56,false,"Indian Premier League (in India/United Arab Emirates), 2021"
Wanindu Hasaranga,2022,16,342,57,1,16,430,26,5/18,16.53,7.54,13.15,false,"Indian Premier League (in India), 2022"
Yuzvendra Chahal,2015,15,281,46.5,0,14,415,23,3/40,18.04,8.86,12.21,false,"Pepsi Indian Premier League (in India), 2015"
Vinay Kumar,2013,16,361,60.1,0,16,493,23,3/18,21.43,8.19,15.69,false,"Indian Premier League (in India), 2013"
Josh Hazlewood,2025,12,264,44,0,12,386,22,4/33,17.54,8.77,12,false,"Indian Premier League (in India), 2025"
Anil Kumble,2009,16,355,59.1,1,16,347,21,5/5,16.52,5.86,16.9,false,"Indian Premier League (in South Africa), 2009"
Sreenath Aravind,2011,13,276,46,0,13,368,21,4/14,17.52,8,13.14,false,"Indian Premier League (in India), 2011"
Yuzvendra Chahal,2016,13,295,49.1,0,13,401,21,4/25,19.09,8.15,14.04,false,"Indian Premier League (in India), 2016"
Yuzvendra Chahal,2020,15,343,57.1,0,15,405,21,3/18,19.28,7.08,16.33,false,"Indian Premier League (in United Arab Emirates), 2020/21"
Mitchell Starc,2015,13,258,43,1,12,291,20,4/15,14.55,6.76,12.9,false,"Pepsi Indian Premier League (in India), 2015"
Josh Hazlewood,2022,12,279,46.3,1,12,377,20,4/25,18.85,8.1,13.95,false,"Indian Premier League (in India), 2022"
UT Yadav,2018,14,319,53.1,1,14,418,20,3/23,20.9,7.86,15.95,false,"Indian Premier League (in India), 2018"
Shane Watson,2016,16,339,56.3,0,16,485,20,4/29,24.25,8.58,16.95,false,"Indian Premier League (in India), 2016"
Mohammed Siraj,2023,14,300,50,0,14,375,19,4/21,19.73,7.5,15.78,false,"Indian Premier League (in India), 2023"
Harshal Patel,2022,15,321,53.3,2,15,410,19,4/34,21.57,7.66,16.89,false,"Indian Premier League (in India), 2022"
Vinay Kumar,2012,15,335,55.5,0,14,480,19,3/22,25.26,8.59,17.63,false,"Indian Premier League (in India), 2012"
Yuzvendra Chahal,2021,15,318,53,1,15,374,18,3/11,20.77,7.05,17.66,false,"Indian Premier League (in India/United Arab Emirates), 2021"
Yuzvendra Chahal,2019,14,296,49.2,1,14,386,18,4/38,21.44,7.82,16.44,false,"Indian Premier League (in India), 2019"
Bhuvneshwar Kumar,2026,10,234,39,0,10,298,17,3/5,17.52,7.64,13.76,false,"Indian Premier League (in India), 2026"
Harshal Patel,2015,15,263,43.5,0,14,328,17,2/12,19.29,7.48,15.47,false,"Pepsi Indian Premier League (in India), 2015"
Krunal Pandya,2025,15,276,46,0,15,379,17,4/45,22.29,8.23,16.23,false,"Indian Premier League (in India), 2025"
Anil Kumble,2009,16,380,63.2,0,16,407,17,4/16,23.94,6.42,22.35,false,"Indian Premier League (in India), 2009/10"
Zaheer Khan,2012,16,360,60,1,15,453,17,3/38,26.64,7.55,21.17,false,"Indian Premier League (in India), 2012"
Bhuvneshwar Kumar,2025,14,312,52,0,14,483,17,3/33,28.41,9.28,18.35,false,"Indian Premier League (in India), 2025"
P Negi,2017,12,193,32.1,0,12,197,16,3/10,12.31,6.12,12.06,false,"Indian Premier League (in India), 2017"
VR Aaron,2014,10,220,36.4,1,10,299,16,3/16,18.68,8.15,13.75,false,"Pepsi Indian Premier League (in India/United Arab Emirates), 2014"
D Wiese,2015,14,254,42.2,0,13,353,16,4/33,22.06,8.33,15.87,false,"Pepsi Indian Premier League (in India), 2015"
Vinay Kumar,2009,14,278,46.2,0,14,396,16,4/40,24.75,8.54,17.37,false,"Indian Premier League (in India), 2009/10"
M Muralidaran,2012,10,240,40,0,10,260,15,3/21,17.33,6.5,16,false,"Indian Premier League (in India), 2012"
Dale Steyn,2009,15,354,59,1,15,406,15,3/18,27.06,6.88,23.6,false,"Indian Premier League (in India), 2009/10"
Yash Dayal,2024,14,301,50.1,0,14,459,15,3/20,30.6,9.14,20.06,false,"Indian Premier League (in India), 2024"
Mohammed Siraj,2024,14,324,54,0,14,496,15,3/43,33.06,9.18,21.6,false,"Indian Premier League (in India), 2024"
Yuzvendra Chahal,2017,13,261,43.3,0,13,333,14,3/16,23.78,7.65,18.64,false,"Indian Premier League (in India), 2017"
Mitchell Starc,2014,14,322,53.4,0,14,402,14,2/21,28.71,7.49,23,false,"Pepsi Indian Premier League (in India/United Arab Emirates), 2014"
Harshal Patel,2023,14,282,47,0,13,454,14,3/32,32.42,9.65,20.14,false,"Indian Premier League (in India), 2023"
Zaheer Khan,2011,15,354,59,1,15,455,14,3/32,32.5,7.71,25.28,false,"Indian Premier League (in India), 2011"
R Rampaul,2013,10,226,37.4,4,10,261,13,3/31,20.07,6.92,17.38,false,"Indian Premier League (in India), 2013"
RP Singh,2013,11,239,39.5,0,11,335,13,3/13,25.76,8.41,18.38,false,"Indian Premier League (in India), 2013"
Zaheer Khan,2007,11,252,42,0,11,357,13,3/38,27.46,8.5,19.38,false,"Indian Premier League (in India), 2007/08"
JD Unadkat,2013,13,294,49,0,13,370,13,5/25,28.46,7.55,22.61,false,"Indian Premier League (in India), 2013"
P Kumar,2009,13,298,49.4,1,13,394,13,3/30,30.3,7.93,22.92,false,"Indian Premier League (in South Africa), 2009"
Yash Dayal,2025,15,294,49,0,15,470,13,2/18,36.15,9.59,22.61,false,"Indian Premier League (in India), 2025"
Jacques Kallis,2009,16,342,57,1,16,476,13,2/3,36.61,8.35,26.3,false,"Indian Premier League (in India), 2009/10"
Daniel Vettori,2011,13,310,51.4,0,13,311,12,3/19,25.91,6.01,25.83,false,"Indian Premier League (in India), 2011"
Yuzvendra Chahal,2018,14,300,50,1,14,363,12,2/22,30.25,7.26,25,false,"Indian Premier League (in India), 2018"
Yuzvendra Chahal,2014,14,330,55,1,14,386,12,2/17,32.16,7.01,27.5,false,"Pepsi Indian Premier League (in India/United Arab Emirates), 2014"
CH Morris,2020,9,190,31.4,1,9,210,11,4/26,19.09,6.63,17.27,false,"Indian Premier League (in United Arab Emirates), 2020/21"
Sreenath Aravind,2016,9,175,29.1,0,9,216,11,2/18,19.63,7.4,15.9,false,"Indian Premier League (in India), 2016"
Mohammed Siraj,2020,9,163,27.1,2,9,236,11,3/8,21.45,8.68,14.81,false,"Indian Premier League (in United Arab Emirates), 2020/21"
CJ Jordan,2016,9,168,28,0,9,258,11,4/11,23.45,9.21,15.27,false,"Indian Premier League (in India), 2016"
Mohammed Siraj,2021,15,312,52,1,15,353,11,3/27,32.09,6.78,28.36,false,"Indian Premier League (in India/United Arab Emirates), 2021"
P Kumar,2007,13,268,44.4,1,13,366,11,3/23,33.27,8.19,24.36,false,"Indian Premier League (in India), 2007/08"
Mohammed Siraj,2018,11,246,41,0,11,367,11,3/25,33.36,8.95,22.36,false,"Indian Premier League (in India), 2018"
